Player,Year,Team
Kevin Garnett,2000,West
Jason Kidd,2000,West
Tim Duncan,2000,West
Kobe Bryant,2000,West
Shaquille O'Neal,2000,West
Reserves,2000,West
Rasheed Wallace,2000,West
Gary Payton,2000,West
Chris Webber,2000,West
John Stockton,2000,West
Michael Finley,2000,West
David Robinson,2000,West
Karl Malone,2000,West
Allen Iverson,2000,East
Vince Carter,2000,East
Alonzo Mourning,2000,East
Eddie Jones,2000,East
Grant Hill,2000,East
Reserves,2000,East
Reggie Miller,2000,East
Allan Houston,2000,East
Ray Allen,2000,East
Glenn Robinson,2000,East
Dikembe Mutombo,2000,East
Jerry Stackhouse,2000,East
Dale Davis,2000,East
Allen Iverson,2001,East
Vince Carter,2001,East
Tracy McGrady,2001,East
Antonio Davis,2001,East
Anthony Mason,2001,East
Reserves,2001,East
Dikembe Mutombo,2001,East
Ray Allen,2001,East
Stephon Marbury,2001,East
Glenn Robinson,2001,East
Latrell Sprewell,2001,East
Jerry Stackhouse,2001,East
Allan Houston,2001,East
Kobe Bryant,2001,West
Jason Kidd,2001,West
Chris Webber,2001,West
Tim Duncan,2001,West
Kevin Garnett,2001,West
Reserves,2001,West
Rasheed Wallace,2001,West
Michael Finley,2001,West
Gary Payton,2001,West
Antonio McDyess,2001,West
David Robinson,2001,West
Vlade Divac,2001,West
Karl Malone,2001,West
Kobe Bryant,2002,West
Tim Duncan,2002,West
Kevin Garnett,2002,West
Chris Webber,2002,West
Steve Francis,2002,West
Reserves,2002,West
Dirk Nowitzki,2002,West
Steve Nash,2002,West
Gary Payton,2002,West
Elton Brand,2002,West
Peja StojakoviÄ,2002,West
Wally Szczerbiak,2002,West
Allen Iverson,2002,East
Michael Jordan,2002,East
Dikembe Mutombo,2002,East
Jason Kidd,2002,East
Antoine Walker,2002,East
Reserves,2002,East
Ray Allen,2002,East
Tracy McGrady,2002,East
Paul Pierce,2002,East
Shareef Abdur-Rahim,2002,East
Jermaine O'Neal,2002,East
Alonzo Mourning,2002,East
Baron Davis,2002,East
Kevin Garnett,2003,West
Tim Duncan,2003,West
Kobe Bryant,2003,West
Steve Francis,2003,West
Yao Ming,2003,West
Reserves,2003,West
Shaquille O'Neal,2003,West
Shawn Marion,2003,West
Dirk Nowitzki,2003,West
Steve Nash,2003,West
Gary Payton,2003,West
Stephon Marbury,2003,West
Peja StojakoviÄ,2003,West
Allen Iverson,2003,East
Tracy McGrady,2003,East
Michael Jordan,2003,East
Jermaine O'Neal,2003,East
Ben Wallace,2003,East
Reserves,2003,East
Jason Kidd,2003,East
Vince Carter,2003,East
Paul Pierce,2003,East
Brad Miller,2003,East
Jamal Mashburn,2003,East
Antoine Walker,2003,East
Zydrunas Ilgauskas,2003,East
Kobe Bryant,2004,West
Kevin Garnett,2004,West
Tim Duncan,2004,West
Steve Francis,2004,West
Yao Ming,2004,West
Reserves,2004,West
Ray Allen,2004,West
Shaquille O'Neal,2004,West
Sam Cassell,2004,West
Peja StojakoviÄ,2004,West
Dirk Nowitzki,2004,West
Andrei Kirilenko,2004,West
Brad Miller,2004,West
Jermaine O'Neal,2004,East
Allen Iverson,2004,East
Ben Wallace,2004,East
Tracy McGrady,2004,East
Vince Carter,2004,East
Reserves,2004,East
Kenyon Martin,2004,East
Jason Kidd,2004,East
Jamaal Magloire,2004,East
Metta World Peace,2004,East
Baron Davis,2004,East
Michael Redd,2004,East
Paul Pierce,2004,East
Allen Iverson,2005,East
LeBron James,2005,East
Shaquille O'Neal,2005,East
Vince Carter,2005,East
Grant Hill,2005,East
Reserves,2005,East
Dwyane Wade,2005,East
Jermaine O'Neal,2005,East
Zydrunas Ilgauskas,2005,East
Paul Pierce,2005,East
Gilbert Arenas,2005,East
Ben Wallace,2005,East
Antawn Jamison,2005,East
Kobe Bryant,2005,West
Tracy McGrady,2005,West
Yao Ming,2005,West
Tim Duncan,2005,West
Kevin Garnett,2005,West
Reserves,2005,West
Ray Allen,2005,West
Manu GinÃ³bili,2005,West
Dirk Nowitzki,2005,West
Amar'e Stoudemire,2005,West
Steve Nash,2005,West
Shawn Marion,2005,West
Rashard Lewis,2005,West
Dwyane Wade,2006,East
LeBron James,2006,East
Allen Iverson,2006,East
Shaquille O'Neal,2006,East
Vince Carter,2006,East
Reserves,2006,East
Ben Wallace,2006,East
Rasheed Wallace,2006,East
Chris Bosh,2006,East
Chauncey Billups,2006,East
Paul Pierce,2006,East
Richard Hamilton,2006,East
Gilbert Arenas,2006,East
Steve Nash,2006,West
Tracy McGrady,2006,West
Kobe Bryant,2006,West
Tim Duncan,2006,West
Yao Ming,2006,West
Reserves,2006,West
Tony Parker,2006,West
Ray Allen,2006,West
Shawn Marion,2006,West
Elton Brand,2006,West
Kevin Garnett,2006,West
Dirk Nowitzki,2006,West
Pau Gasol,2006,West
Kobe Bryant,2007,West
Tracy McGrady,2007,West
Dirk Nowitzki,2007,West
Tim Duncan,2007,West
Kevin Garnett,2007,West
Reserves,2007,West
Carmelo Anthony,2007,West
Tony Parker,2007,West
Shawn Marion,2007,West
Ray Allen,2007,West
Amar'e Stoudemire,2007,West
Josh Howard,2007,West
Mehmet Okur,2007,West
LeBron James,2007,East
Dwyane Wade,2007,East
Chris Bosh,2007,East
Gilbert Arenas,2007,East
Shaquille O'Neal,2007,East
Reserves,2007,East
Jermaine O'Neal,2007,East
Dwight Howard,2007,East
Joe Johnson,2007,East
Chauncey Billups,2007,East
Vince Carter,2007,East
Caron Butler,2007,East
Richard Hamilton,2007,East
Dwight Howard,2008,East
LeBron James,2008,East
Jason Kidd,2008,East
Dwyane Wade,2008,East
Chris Bosh,2008,East
Reserves,2008,East
Ray Allen,2008,East
Chauncey Billups,2008,East
Richard Hamilton,2008,East
Rasheed Wallace,2008,East
Joe Johnson,2008,East
Paul Pierce,2008,East
Antawn Jamison,2008,East
Tim Duncan,2008,West
Carmelo Anthony,2008,West
Allen Iverson,2008,West
Yao Ming,2008,West
Kobe Bryant,2008,West
Reserves,2008,West
Brandon Roy,2008,West
Chris Paul,2008,West
Dirk Nowitzki,2008,West
Amar'e Stoudemire,2008,West
Steve Nash,2008,West
Carlos Boozer,2008,West
David West,2008,West
Kobe Bryant,2009,West
Chris Paul,2009,West
Amar'e Stoudemire,2009,West
Tim Duncan,2009,West
Yao Ming,2009,West
Reserves,2009,West
Brandon Roy,2009,West
Tony Parker,2009,West
Chauncey Billups,2009,West
Pau Gasol,2009,West
David West,2009,West
Dirk Nowitzki,2009,West
Shaquille O'Neal,2009,West
Dwight Howard,2009,East
LeBron James,2009,East
Dwyane Wade,2009,East
Kevin Garnett,2009,East
Allen Iverson,2009,East
Reserves,2009,East
Joe Johnson,2009,East
Rashard Lewis,2009,East
Paul Pierce,2009,East
Ray Allen,2009,East
Devin Harris,2009,East
Mo Williams,2009,East
Danny Granger,2009,East
LeBron James,2010,East
Dwyane Wade,2010,East
Dwight Howard,2010,East
Joe Johnson,2010,East
Kevin Garnett,2010,East
Reserves,2010,East
Chris Bosh,2010,East
Rajon Rondo,2010,East
Gerald Wallace,2010,East
Derrick Rose,2010,East
Al Horford,2010,East
David Lee,2010,East
Paul Pierce,2010,East
Carmelo Anthony,2010,West
Dirk Nowitzki,2010,West
Steve Nash,2010,West
Amar'e Stoudemire,2010,West
Tim Duncan,2010,West
Reserves,2010,West
Deron Williams,2010,West
Chauncey Billups,2010,West
Pau Gasol,2010,West
Kevin Durant,2010,West
Zach Randolph,2010,West
Chris Kaman,2010,West
Jason Kidd,2010,West
Kevin Durant,2011,West
Kobe Bryant,2011,West
Chris Paul,2011,West
Carmelo Anthony,2011,West
Tim Duncan,2011,West
Reserves,2011,West
Pau Gasol,2011,West
Manu GinÃ³bili,2011,West
Deron Williams,2011,West
Blake Griffin,2011,West
Dirk Nowitzki,2011,West
Russell Westbrook,2011,West
Kevin Love,2011,West
LeBron James,2011,East
Derrick Rose,2011,East
Amar'e Stoudemire,2011,East
Dwight Howard,2011,East
Dwyane Wade,2011,East
Reserves,2011,East
Chris Bosh,2011,East
Rajon Rondo,2011,East
Joe Johnson,2011,East
Ray Allen,2011,East
