Player,Appearances
Reserves,48
LeBron James,19
Tim Duncan,14
Kobe Bryant,14
Dirk Nowitzki,14
Kevin Garnett,12
Dwyane Wade,12
Chris Paul,11
Ray Allen,10
Kevin Durant,10
Carmelo Anthony,10
Paul Pierce,10
James Harden,9
Russell Westbrook,9
Chris Bosh,9
Allen Iverson,9
Dwight Howard,8
Kyrie Irving,8
Paul George,8
Stephen Curry,8
Tracy McGrady,7
Jason Kidd,7
LaMarcus Aldridge,7
Steve Nash,7
Shaquille O'Neal,7
Giannis Antetokounmpo,7
Vince Carter,7
Tony Parker,6
Joe Johnson,6
Yao Ming,6
Pau Gasol,6
Amar'e Stoudemire,6
DeMar DeRozan,6
Anthony Davis,6
Damian Lillard,6
Kyle Lowry,6
Kawhi Leonard,5
Nikola JokiÄ,5
Joel Embiid,5
Klay Thompson,5
Jermaine O'Neal,5
Chauncey Billups,5
Al Horford,5
Blake Griffin,5
Jayson Tatum,4
Rasheed Wallace,4
Kemba Walker,4
Gary Payton,4
Jimmy Butler,4
Ben Wallace,4
Shawn Marion,4
John Wall,4
Luka DonÄiÄ,4
Paul Millsap,4
Chris Webber,3
Donovan Mitchell,3
DeMarcus Cousins,3
Draymond Green,3
Rudy Gobert,3
Karl-Anthony Towns,3
Kevin Love,3
Rajon Rondo,3
Derrick Rose,3
Deron Williams,3
Khris Middleton,3
Marc Gasol,3
Domantas Sabonis,3
Bradley Beal,3
Richard Hamilton,3
Dikembe Mutombo,3
Gilbert Arenas,3
Peja StojakoviÄ,3
Steve Francis,3
Roy Hibbert,2
Elton Brand,2
Nikola VuÄeviÄ,2
Bam Adebayo,2
Luol Deng,2
Karl Malone,2
Antoine Walker,2
Joakim Noah,2
Jrue Holiday,2
Michael Jordan,2
Ja Morant,2
Brad Miller,2
Stephon Marbury,2
Ben Simmons,2
Jerry Stackhouse,2
Isaiah Thomas,2
Andre Drummond,2
Glenn Robinson,2
Allan Houston,2
Grant Hill,2
Baron Davis,2
Alonzo Mourning,2
David Lee,2
Zydrunas Ilgauskas,2
David West,2
Julius Randle,2
Antawn Jamison,2
Devin Booker,2
Zach Randolph,2
Trae Young,2
Zach LaVine,2
Rashard Lewis,2
Pascal Siakam,2
Brandon Roy,2
Jaylen Brown,2
Manu GinÃ³bili,2
David Robinson,2
Michael Finley,2
Darius Garland,1
Goran DragiÄ,1
Anthony Edwards,1
Tyrese Haliburton,1
Shai Gilgeous-Alexander,1
Andrew Wiggins,1
Lauri Markkanen,1
LaMelo Ball,1
Dejounte Murray,1
Brandon Ingram,1
Fred VanVleet,1
Zion Williamson,1
D'Angelo Russell,1
Jarrett Allen,1
Mike Conley,1
De'Aaron Fox,1
Gerald Wallace,1
Victor Oladipo,1
DeAndre Jordan,1
Kenyon Martin,1
Andrei Kirilenko,1
Sam Cassell,1
Jamal Mashburn,1
Shareef Abdur-Rahim,1
Wally Szczerbiak,1
Vlade Divac,1
Antonio McDyess,1
Latrell Sprewell,1
Anthony Mason,1
Antonio Davis,1
Dale Davis,1
Reggie Miller,1
Eddie Jones,1
John Stockton,1
Jamaal Magloire,1
Metta World Peace,1
Michael Redd,1
Andrew Bynum,1
Gordon Hayward,1
Jeff Teague,1
Kyle Korver,1
Brook Lopez,1
Tyson Chandler,1
Andre Iguodala,1
Chris Kaman,1
Josh Howard,1
Danny Granger,1
Mo Williams,1
Devin Harris,1
Carlos Boozer,1
Caron Butler,1
Mehmet Okur,1
Jaren Jackson Jr.,1
