Player, Points, Field Goals, FG Attempts, Three Pointers, 3P Attempts, Free Throws, FT Attempts, ORB, DRB, Assists, Blocks, Steals, Turnovers, Personal Fouls
Al Horford,14,5,11,1,3,1,1,1,5,4,1,0,1,1
Allan Houston,18,6,15,1,3,3,3,0,2,2,0,0,2,2
Allen Iverson,23,8,18,0,2,6,8,0,2,6,0,1,3,1
Alonzo Mourning,18,7,13,0,0,4,6,2,6,1,3,0,2,3
Amar'e Stoudemire,23,8,16,0,0,6,7,2,5,1,1,0,2,3
Andre Drummond,14,6,11,0,0,2,5,4,10,1,1,1,2,3
Andre Iguodala,14,5,11,1,3,3,4,0,5,5,0,1,2,1
Andrei Kirilenko,13,4,9,0,1,4,5,2,3,1,2,1,1,2
Andrew Bynum,15,5,10,0,0,3,4,3,6,1,1,0,1,2
Andrew Wiggins,18,7,15,2,5,2,3,1,3,2,0,0,1,2
Antawn Jamison,20,7,17,1,4,3,4,2,7,1,0,1,1,2
Anthony Davis,26,9,18,0,2,6,8,2,8,3,2,1,2,2
Anthony Edwards,21,7,17,2,7,3,4,0,4,3,0,1,2,2
Anthony Mason,13,4,9,0,0,3,5,2,7,3,0,0,1,2
Antoine Walker,21,8,20,2,7,2,3,1,6,5,0,1,3,2
Antonio Davis,11,4,9,0,0,3,4,3,5,1,1,0,1,3
Antonio McDyess,20,7,16,0,0,4,6,3,7,1,1,0,2,3
Bam Adebayo,19,7,13,0,0,4,5,2,6,3,0,1,2,2
Baron Davis,19,7,17,2,6,2,4,1,3,7,0,2,3,2
Ben Simmons,16,6,12,0,0,2,4,1,6,7,0,1,3,2
Ben Wallace,8,3,7,0,0,1,3,3,8,1,2,1,1,2
Blake Griffin,22,7,17,1,4,5,6,1,6,5,0,0,2,2
Brad Miller,13,4,9,0,0,3,4,2,6,2,0,0,1,3
Bradley Beal,28,10,21,2,7,5,6,1,3,5,0,1,3,2
Brandon Ingram,19,7,14,1,3,4,5,0,4,3,0,0,2,2
Brandon Roy,19,7,15,1,2,4,5,1,3,5,0,1,1,1
Brook Lopez,19,7,15,0,0,4,5,2,3,1,1,0,1,2
Carlos Boozer,20,8,15,0,0,3,4,2,7,2,0,1,2,3
Carmelo Anthony,22,8,18,1,4,4,5,1,5,3,0,0,2,2
Caron Butler,17,6,14,0,1,3,4,1,4,2,0,1,2,2
Chauncey Billups,18,5,12,1,4,5,6,0,2,6,0,1,2,1
Chris Bosh,17,6,13,0,2,3,4,1,5,1,1,0,1,2
Chris Kaman,16,6,13,0,0,2,3,2,7,1,1,0,2,2
Chris Paul,16,6,12,1,3,2,3,0,4,8,0,1,2,2
Chris Webber,25,10,21,0,0,4,6,2,8,4,1,1,2,3
Dale Davis,8,3,6,0,0,1,2,3,5,0,1,0,1,2
Damian Lillard,29,8,20,3,10,7,7,0,3,7,0,0,3,1
D'Angelo Russell,17,6,15,2,6,2,2,0,3,5,0,1,3,1
Danny Granger,19,6,14,2,5,4,4,1,4,2,1,1,2,3
Darius Garland,17,6,14,2,5,2,2,0,2,6,0,1,3,1
David Lee,18,7,14,0,0,3,4,2,7,3,0,0,2,3
David Robinson,16,5,11,0,0,4,6,2,6,1,2,1,1,2
David West,20,7,16,0,0,4,4,2,6,2,1,0,2,2
De'Aaron Fox,24,9,18,1,4,4,6,0,3,6,0,1,2,2
DeAndre Jordan,12,4,6,0,0,2,6,4,10,1,2,0,1,2
Dejounte Murray,15,6,14,0,3,1,2,1,6,6,0,1,2,2
DeMar DeRozan,24,8,17,0,1,6,7,0,4,5,0,0,2,2
DeMarcus Cousins,26,8,19,1,2,7,9,2,9,3,1,1,3,3
Deron Williams,19,6,15,1,4,4,5,0,3,9,0,1,3,2
Derrick Rose,22,8,18,1,3,4,5,0,2,7,0,0,3,1
Devin Booker,26,9,19,2,6,5,6,0,3,5,0,0,3,2
Devin Harris,15,5,10,0,2,4,5,0,2,5,0,1,2,2
Dikembe Mutombo,11,3,7,0,0,3,4,3,9,1,2,0,2,2
Dirk Nowitzki,11,4,9,1,4,1,1,0,4,1,0,0,0,1
Domantas Sabonis,19,7,12,0,1,3,5,2,9,6,0,0,3,3
Donovan Mitchell,26,9,20,3,9,4,5,0,3,4,0,1,2,2
Draymond Green,11,4,9,1,3,2,3,1,7,7,1,1,2,2
Dwight Howard,18,6,11,0,0,4,9,3,9,1,2,1,3,3
Dwyane Wade,14,5,13,0,2,2,3,0,3,3,0,1,2,1
Eddie Jones,17,6,13,1,4,4,4,1,3,3,0,2,1,2
Elton Brand,21,8,16,0,0,5,6,3,6,2,2,0,2,3
Fred VanVleet,19,6,16,3,8,3,3,0,3,6,0,1,2,2
Gary Payton,21,8,19,0,2,3,4,0,3,8,0,1,2,2
Gerald Wallace,18,5,12,0,2,5,6,1,6,2,0,1,2,2
Giannis Antetokounmpo,29,10,18,0,3,7,11,1,9,5,1,1,3,3
Gilbert Arenas,27,8,20,2,7,7,9,0,3,5,0,1,3,3
Glenn Robinson,20,8,18,0,2,3,3,1,4,2,0,1,2,2
Goran Dragic,17,6,13,1,3,2,3,0,3,5,0,1,2,2
Gordon Hayward,20,6,15,1,4,4,5,0,4,3,0,1,2,1
Grant Hill,17,6,13,0,0,4,5,1,4,3,0,1,2,2
Isaiah Thomas,22,7,16,2,6,6,6,0,2,5,0,0,2,2
Ja Morant,24,8,18,1,4,5,7,1,4,7,0,1,3,1
Jamaal Magloire,10,3,7,0,0,3,4,2,5,0,1,0,1,3
Jamal Mashburn,21,7,18,1,3,4,4,0,5,5,0,1,2,2
James Harden,32,9,21,4,11,9,10,0,6,8,0,1,4,3
Jaren Jackson Jr.,17,5,13,1,4,3,4,1,4,1,2,0,1,3
Jarrett Allen,13,5,7,0,0,2,4,3,6,1,1,0,1,1
Jason Kidd,10,3,8,1,4,1,1,0,5,9,0,1,2,1
Jaylen Brown,24,9,19,2,7,3,4,1,5,3,0,1,2,2
Jayson Tatum,27,9,20,3,8,5,6,0,7,4,0,1,2,2
Jeff Teague,15,5,12,1,2,3,3,0,2,6,0,1,2,2
Jermaine O'Neal,20,7,17,0,0,5,7,2,7,2,2,0,2,3
Jerry Stackhouse,24,7,18,1,4,7,8,1,2,4,0,1,3,2
Jimmy Butler,20,6,13,0,2,7,8,1,4,6,0,1,2,1
Joakim Noah,11,4,9,0,0,2,3,3,7,4,1,1,2,2
Joe Johnson,16,6,14,2,5,2,2,0,2,3,0,0,1,1
Joel Embiid,30,10,19,1,3,9,11,2,8,3,1,1,3,2
John Stockton,11,4,8,0,1,2,3,0,2,8,0,1,2,2
John Wall,20,7,16,1,3,4,5,0,3,10,0,1,4,2
Josh Howard,15,5,12,0,2,2,3,2,4,1,0,1,1,2
Jrue Holiday,18,7,14,2,5,2,2,1,3,6,0,1,2,1
Julius Randle,23,8,18,2,6,4,6,1,8,5,0,0,3,3
Karl Malone,24,8,17,0,0,7,8,1,7,4,0,1,3,2
Karl-Anthony Towns,25,8,17,2,6,5,6,2,7,4,1,0,3,3
Kawhi Leonard,26,9,18,1,5,5,6,1,5,4,0,1,2,1
Kemba Walker,23,7,18,3,8,4,5,0,3,5,0,1,2,1
Kenyon Martin,16,6,13,0,0,2,4,1,5,2,1,1,2,3
Kevin Durant,25,9,17,2,5,5,6,0,6,5,1,0,2,1
Kevin Garnett,15,6,12,0,0,2,3,1,7,2,0,1,1,2
Kevin Love,25,8,18,2,5,6,8,3,9,3,0,0,2,2
Khris Middleton,20,7,15,2,5,3,3,0,5,5,0,1,2,2
Klay Thompson,21,8,17,3,7,1,2,0,3,2,0,0,1,1
Kobe Bryant,18,6,17,1,6,4,5,0,3,3,0,1,2,1
Kyle Korver,11,3,8,2,5,1,1,0,3,2,0,0,1,2
Kyle Lowry,16,5,12,2,7,3,3,0,4,7,0,1,2,2
Kyrie Irving,27,10,20,3,7,3,4,0,3,5,0,1,2,2
LaMarcus Aldridge,20,8,16,0,0,3,4,2,5,2,1,0,1,2
LaMelo Ball,19,6,16,2,7,2,3,1,5,7,0,1,3,3
Latrell Sprewell,17,6,15,0,1,3,4,0,3,3,0,1,2,2
Lauri Markkanen,18,6,13,2,6,3,3,1,5,1,0,0,1,1
LeBron James,28,10,20,2,7,4,5,1,7,6,0,1,3,1
Luka Doncic,29,10,21,2,8,6,8,0,7,8,0,1,4,2
Luol Deng,16,6,14,1,3,2,3,1,4,2,0,1,1,1
Manu Ginobili,16,5,12,1,5,4,4,0,3,4,0,1,2,2
Marc Gasol,17,6,14,0,1,4,4,1,5,4,1,0,2,2
Maurice Williams,17,6,15,1,3,2,2,0,4,6,0,1,2,2
Mehmet Okur,16,5,12,0,2,4,5,2,5,2,0,0,1,3
Michael Finley,21,8,18,1,3,3,4,1,4,4,0,1,2,2
Michael Jordan,23,9,21,0,1,4,6,1,4,4,0,1,2,1
Michael Redd,16,5,13,1,4,2,3,1,3,1,0,0,1,1
Mike Conley,17,5,13,2,6,3,4,0,2,5,0,1,1,1
