Player,Best Model,MSE,R^2
Al Horford,Linear Regression,2.0410200019097133,0.9426280993332181
Allan Houston,Linear Regression,1.0760348159610902,0.9801991185231161
Allen Iverson,XGBoost,4.370772708350062,0.934829102256629
Alonzo Mourning,Linear Regression,1.041375666735449,0.9672453435567143
Amar'e Stoudemire,XGBoost,1.5257625041473943,0.9609316895239696
Andre Drummond,Linear Regression,0.7465336694020686,0.9767134617561923
Andre Iguodala,XGBoost,1.5687390131356749,0.9076891040320582
Andrei Kirilenko,Linear Regression,0.3247472887748581,0.9877268417159825
Andrew Bynum,Linear Regression,0.22490148789677444,0.9949973556850814
Andrew Wiggins,Linear Regression,0.6682085691804801,0.9699966146993708
Antawn Jamison,Linear Regression,1.1136348601997272,0.9769492105935983
Anthony Davis,Linear Regression,2.5056827404574626,0.9564807243244633
Anthony Edwards,Linear Regression,5.955202480765419,0.8550418038496563
Anthony Mason,Linear Regression,1.1178992860109336,0.9636989407661645
Antoine Walker,Linear Regression,4.039274320842411,0.9283051912822813
Antonio Davis,XGBoost,0.9861737377742692,0.9664091438818198
Antonio McDyess,Linear Regression,4.779063086528638,0.9001504559928251
Bam Adebayo,XGBoost,1.0428162282175806,0.9707407809109916
Baron Davis,Linear Regression,2.494774246246749,0.9476544526505126
Ben Simmons,Linear Regression,2.191985872111445,0.9295112008311988
Ben Wallace,XGBoost,0.6567830933951484,0.9705178902491394
Blake Griffin,Linear Regression,2.690828052645329,0.9626885218857526
Brad Miller,Linear Regression,1.4949880308117496,0.9703498506293585
Bradley Beal,Linear Regression,3.3714566151656626,0.9557267170431702
Brandon Ingram,Linear Regression,3.035935294343031,0.9677119064996489
Brandon Roy,Linear Regression,2.3429955828516285,0.9715316497860667
Brook Lopez,Linear Regression,3.9978753346950637,0.8988579814525214
Carlos Boozer,Linear Regression,1.8603692293658325,0.9661129150191333
Carmelo Anthony,Linear Regression,0.14230122255179756,0.9972799443484704
Caron Butler,Linear Regression,2.098890029444814,0.9328108373245383
Chauncey Billups,Linear Regression,0.4833794577343763,0.9923499282157581
Chris Bosh,Linear Regression,1.5955465139963019,0.9663625254250932
Chris Kaman,XGBoost,0.6228281807702118,0.98285273950553
Chris Paul,Linear Regression,0.4533328112768122,0.987083576197108
Chris Webber,Linear Regression,2.729841826347889,0.9400845925878835
Dale Davis,Linear Regression,3.761835400502008,0.9177805593329922
Damian Lillard,XGBoost,17.46755570132887,0.660457880535724
D'Angelo Russell,Linear Regression,3.1927998791478753,0.9709354602975496
Danny Granger,Linear Regression,1.1040563940207369,0.9810458806153926
Darius Garland,Linear Regression,3.6019817937607943,0.9059004087485163
David Lee,Linear Regression,0.24193272919695905,0.9911383264954954
David Robinson,Linear Regression,0.388581867166745,0.9908195595141372
David West,Linear Regression,2.0144681480645223,0.9659699077083039
De'Aaron Fox,XGBoost,7.76609809988612,0.7645756189780031
DeAndre Jordan,Linear Regression,1.8504241003410327,0.9254911612304189
Dejounte Murray,Linear Regression,0.2694710043156196,0.9923526797669695
DeMar DeRozan,Linear Regression,2.447035007176186,0.9702869467558207
DeMarcus Cousins,Linear Regression,3.971498286623709,0.9523753092474191
Deron Williams,Linear Regression,6.391426550202014,0.9300793570440561
Derrick Rose,Linear Regression,10.723987945885662,0.7765512568068969
Devin Booker,Linear Regression,2.8539543567495116,0.9634853324779671
Devin Harris,Linear Regression,30.934292274927643,0.7137095459131364
Dikembe Mutombo,Linear Regression,0.05596038957558664,0.9980030473679117
Dirk Nowitzki,Linear Regression,0.2687581578926042,0.9930305157766073
Domantas Sabonis,Linear Regression,1.3655558610197058,0.9654502864284725
Donovan Mitchell,XGBoost,8.930641038563577,0.874765565400053
Draymond Green,Linear Regression,3.535481942691199,0.9016707741525933
Dwight Howard,Linear Regression,5.6001406587893605,0.9054544899939893
Dwyane Wade,Linear Regression,1.5546944806594738,0.9708757144910032
Eddie Jones,Linear Regression,2.844791245525668,0.9514209145231273
Elton Brand,Linear Regression,7.31837126876598,0.8546968069953201
Fred VanVleet,Linear Regression,7.312742285985581,0.9197121865557117
Gary Payton,Linear Regression,7.736433398390256,0.8544506949960786
Gerald Wallace,Linear Regression,0.8396850989818783,0.9855173992624962
Giannis Antetokounmpo,Linear Regression,4.153178562630736,0.9279099060639779
Gilbert Arenas,Linear Regression,1.5704132144460519,0.9848233397115581
Glenn Robinson,Linear Regression,3.9367135003285614,0.8887025227957911
Goran Dragic,Linear Regression,0.3524516308453705,0.9914140893825731
Gordon Hayward,Linear Regression,2.6451102613657715,0.9287489920066009
Grant Hill,Linear Regression,4.460908110253049,0.849433529313879
Isaiah Thomas,Linear Regression,0.5979719846441858,0.9904680441433452
Ja Morant,Linear Regression,6.964619543141929,0.9129422557107258
Jamaal Magloire,Linear Regression,0.8001044905122852,0.97041781115747
Jamal Mashburn,Linear Regression,6.60903166299664,0.9219838176751237
James Harden,Linear Regression,7.06040893621764,0.9553341745125672
Jaren Jackson Jr.,Linear Regression,1.0978852581923724,0.9661241010368438
Jarrett Allen,XGBoost,1.3545938115521114,0.9435545080334213
Jason Kidd,Random Forest,3.27830303030303,0.8598652849740933
Jaylen Brown,Linear Regression,3.6031504201782445,0.9258874596154297
Jayson Tatum,Linear Regression,0.3127037652185284,0.9947887531025521
Jeff Teague,Linear Regression,0.09342425576521167,0.9983051929287883
Jermaine O'Neal,Linear Regression,0.8686646772231476,0.9758097633881003
Jerry Stackhouse,Linear Regression,2.54769046512696,0.9587174520649457
Jimmy Butler,Linear Regression,0.9717017250203824,0.9814402669727756
Joakim Noah,Linear Regression,2.5227005398136817,0.905810807474287
Joe Johnson,Linear Regression,0.6798496789321924,0.9860939180653476
Joel Embiid,Linear Regression,1.6936350021204558,0.9744630612115122
John Stockton,Linear Regression,0.05962678028063219,0.9977503403982724
John Wall,Linear Regression,4.158172625555811,0.8992587129239364
Josh Howard,Linear Regression,1.0920473054574877,0.9765083857282654
Jrue Holiday,Linear Regression,0.501258160646803,0.9915086397008989
Julius Randle,Linear Regression,0.6782126235510699,0.9906358713611322
Karl Malone,Linear Regression,2.459887815606298,0.9541800453065945
Karl-Anthony Towns,Linear Regression,5.388830458931335,0.8360742219005118
Kawhi Leonard,Linear Regression,1.686889442641585,0.9684912592529127
Kemba Walker,Linear Regression,10.443228109582787,0.7600594661104562
Kenyon Martin,Linear Regression,0.7931994416853299,0.9840235491100886
Kevin Durant,Linear Regression,3.098689806879491,0.9033973872946226
Kevin Garnett,Linear Regression,0.3305601339678625,0.9854367407089237
Kevin Love,Linear Regression,2.11653653992514,0.9746946515561709
Khris Middleton,Linear Regression,3.234822029895217,0.8354142057653815
Klay Thompson,Linear Regression,3.2177454737443902,0.9091262078209604
Kobe Bryant,Linear Regression,3.153098787567246,0.9575492561571268
Kyle Korver,Linear Regression,1.139376849304951,0.9640310370628764
Kyle Lowry,Linear Regression,3.513928424074484,0.8692267914108281
Kyrie Irving,XGBoost,5.194578315605112,0.9348390036681228
LaMarcus Aldridge,Linear Regression,1.5285778960529712,0.9786443309153661
LaMelo Ball,Linear Regression,7.45151198490337,0.9067267456384653
Latrell Sprewell,XGBoost,1.3547419656583983,0.956642837453613
Lauri Markkanen,Linear Regression,4.331932860708212,0.8964941816118072
LeBron James,Linear Regression,0.4704497325193064,0.991993697448761
