Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Al Horford,2018,9,2,7,.286,0,2,.000,5,7,.714,0,7,7,5,1,0,0,2
Al Horford,2018,13,6,11,.545,0,2,.000,1,1,1.000,1,5,6,4,2,3,2,3
Al Horford,2018,17,5,16,.313,3,7,.429,4,4,1.000,3,6,9,3,1,0,4,2
Al Horford,2018,13,5,8,.625,2,4,.500,1,2,.500,2,11,13,5,1,0,2,1
Al Horford,2018,27,11,14,.786,4,5,.800,1,1,1.000,1,8,9,4,1,0,4,2
Al Horford,2018,12,3,9,.333,0,2,.000,6,7,.857,1,8,9,3,0,1,2,1
Al Horford,2018,14,7,11,.636,0,0,,0,0,,3,10,13,5,0,2,1,2
Al Horford,2018,7,3,6,.500,1,4,.250,0,0,,0,7,7,6,1,1,4,1
Al Horford,2018,20,8,10,.800,4,4,1.000,0,0,,2,6,8,4,0,0,2,2
Al Horford,2018,14,5,8,.625,3,3,1.000,1,2,.500,1,9,10,4,0,0,6,3
Al Horford,2018,15,5,13,.385,1,5,.200,4,4,1.000,2,8,10,9,1,0,1,1
Al Horford,2018,,,,,,,,,,,,,,,,,,
Al Horford,2018,,,,,,,,,,,,,,,,,,
Al Horford,2018,21,8,9,.889,1,1,1.000,4,5,.800,1,2,3,4,0,2,2,1
Al Horford,2018,17,8,10,.800,1,2,.500,0,0,,1,10,11,3,0,0,2,1
Al Horford,2018,18,7,11,.636,0,4,.000,4,4,1.000,1,10,11,2,0,0,5,1
Al Horford,2018,7,3,11,.273,1,5,.200,0,0,,2,4,6,6,0,1,3,4
Al Horford,2018,3,1,5,.200,1,1,1.000,0,0,,1,7,8,7,2,1,3,0
Al Horford,2018,7,3,10,.300,1,4,.250,0,2,.000,2,7,9,4,2,1,1,0
Al Horford,2018,5,2,5,.400,1,3,.333,0,0,,0,4,4,10,2,0,2,1
Al Horford,2018,,,,,,,,,,,,,,,,,,
Al Horford,2018,21,8,15,.533,3,4,.750,2,2,1.000,1,4,5,6,3,0,1,1
Al Horford,2018,11,5,8,.625,1,3,.333,0,0,,0,5,5,3,2,1,1,3
Al Horford,2018,21,9,12,.750,2,3,.667,1,2,.500,0,8,8,5,2,0,2,2
Al Horford,2018,14,6,10,.600,2,4,.500,0,0,,1,4,5,11,1,0,1,1
Al Horford,2018,20,8,10,.800,1,2,.500,3,4,.750,2,7,9,8,1,0,2,4
Al Horford,2018,17,7,17,.412,3,5,.600,0,0,,2,6,8,8,3,2,0,1
Al Horford,2018,2,1,6,.167,0,3,.000,0,0,,2,7,9,3,0,0,3,3
Al Horford,2018,18,7,15,.467,2,7,.286,2,2,1.000,1,8,9,6,2,0,0,3
Al Horford,2018,15,6,14,.429,0,4,.000,3,3,1.000,2,2,4,5,0,0,0,0
Al Horford,2018,,,,,,,,,,,,,,,,,,
