Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Luka Doncic,2023,35,10,23,.435,2,10,.200,13,13,1.000,0,9,9,6,0,1,4,3
Luka Doncic,2023,32,12,23,.522,4,9,.444,4,5,.800,2,5,7,10,2,2,3,2
Luka Doncic,2023,37,16,30,.533,2,13,.154,3,5,.600,3,8,11,7,1,2,3,3
Luka Doncic,2023,41,14,28,.500,2,6,.333,11,13,.846,1,10,11,14,0,3,5,2
Luka Doncic,2023,31,8,23,.348,0,6,.000,15,19,.789,2,14,16,10,0,1,3,6
Luka Doncic,2023,44,17,26,.654,2,9,.222,8,14,.571,0,3,3,5,0,1,0,3
Luka Doncic,2023,33,12,20,.600,2,6,.333,7,10,.700,0,5,5,11,0,2,5,3
Luka Doncic,2023,35,10,15,.667,3,6,.500,12,14,.857,1,7,8,6,1,3,4,4
Luka Doncic,2023,36,11,22,.500,5,9,.556,9,12,.750,0,6,6,6,1,2,5,5
Luka Doncic,2023,24,9,29,.310,2,11,.182,4,7,.571,0,6,6,6,2,3,0,3
Luka Doncic,2023,22,8,21,.381,3,8,.375,3,9,.333,0,9,9,6,0,2,5,2
Luka Doncic,2023,42,13,22,.591,1,5,.200,15,18,.833,3,10,13,10,1,2,2,3
Luka Doncic,2023,35,11,22,.500,2,5,.400,11,11,1.000,2,9,11,5,0,3,3,3
Luka Doncic,2023,,,,,,,,,,,,,,,,,,
Luka Doncic,2023,33,11,22,.500,2,7,.286,9,11,.818,1,11,12,11,0,1,2,1
Luka Doncic,2023,22,7,16,.438,2,8,.250,6,10,.600,0,9,9,8,0,1,4,2
Luka Doncic,2023,42,17,28,.607,3,8,.375,5,9,.556,1,7,8,9,0,0,5,4
Luka Doncic,2023,24,8,15,.533,2,4,.500,6,9,.667,0,7,7,9,1,2,4,2
Luka Doncic,2023,27,10,20,.500,3,7,.429,4,9,.444,0,5,5,12,0,0,6,2
Luka Doncic,2023,41,14,27,.519,4,9,.444,9,15,.600,2,10,12,12,1,4,5,3
Luka Doncic,2023,,,,,,,,,,,,,,,,,,
Luka Doncic,2023,35,13,25,.520,7,14,.500,2,6,.333,0,5,5,10,0,3,3,3
Luka Doncic,2023,30,11,21,.524,4,9,.444,4,4,1.000,0,8,8,7,3,1,5,2
Luka Doncic,2023,33,12,20,.600,4,9,.444,5,7,.714,1,5,6,8,2,1,3,3
Luka Doncic,2023,22,5,17,.294,4,9,.444,8,9,.889,0,10,10,12,1,0,5,2
Luka Doncic,2023,33,13,28,.464,3,11,.273,4,10,.400,1,5,6,11,0,2,1,2
Luka Doncic,2023,,,,,,,,,,,,,,,,,,
Luka Doncic,2023,38,13,27,.481,3,10,.300,9,10,.900,0,11,11,8,0,0,4,3
Luka Doncic,2023,30,9,23,.391,2,8,.250,10,11,.909,2,3,5,6,1,1,5,4
Luka Doncic,2023,33,11,18,.611,5,9,.556,6,7,.857,0,6,6,9,0,0,4,3
Luka Doncic,2023,,,,,,,,,,,,,,,,,,
Luka Doncic,2023,19,5,17,.294,3,8,.375,6,7,.857,1,5,6,7,0,1,4,2
Luka Doncic,2023,25,8,16,.500,1,5,.200,8,9,.889,1,8,9,10,0,3,4,1
Luka Doncic,2023,50,17,30,.567,6,12,.500,10,12,.833,0,8,8,10,0,3,7,3
Luka Doncic,2023,32,9,16,.563,2,3,.667,12,16,.750,3,6,9,9,0,2,3,5
Luka Doncic,2023,60,21,31,.677,2,6,.333,16,22,.727,5,16,21,10,1,2,4,5
Luka Doncic,2023,35,11,21,.524,4,9,.444,9,12,.750,1,11,12,13,2,1,2,1
Luka Doncic,2023,51,18,29,.621,6,10,.600,9,15,.600,1,5,6,9,1,4,0,3
Luka Doncic,2023,39,10,26,.385,1,9,.111,18,22,.818,2,10,12,8,0,1,4,2
Luka Doncic,2023,23,7,23,.304,0,6,.000,9,11,.818,0,9,9,3,0,0,4,4
Luka Doncic,2023,34,10,23,.435,3,6,.500,11,15,.733,0,10,10,10,1,0,7,4
Luka Doncic,2023,,,,,,,,,,,,,,,,,,
Luka Doncic,2023,,,,,,,,,,,,,,,,,,
Luka Doncic,2023,43,12,22,.545,3,9,.333,16,21,.762,0,11,11,7,0,2,3,2
Luka Doncic,2023,35,14,28,.500,4,9,.444,3,7,.429,2,12,14,13,1,1,5,5
Luka Doncic,2023,15,7,19,.368,0,5,.000,1,6,.167,0,6,6,10,1,1,1,2
Luka Doncic,2023,,,,,,,,,,,,,,,,,,
Luka Doncic,2023,30,9,19,.474,2,8,.250,10,12,.833,0,4,4,8,0,0,7,3
Luka Doncic,2023,34,12,24,.500,5,8,.625,5,8,.625,1,11,12,7,0,1,3,0
Luka Doncic,2023,29,9,21,.429,3,7,.429,8,13,.615,3,7,10,4,0,1,4,3
Luka Doncic,2023,41,16,29,.552,0,4,.000,9,12,.750,0,15,15,6,0,1,3,3
Luka Doncic,2023,0,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0
Luka Doncic,2023,,,,,,,,,,,,,,,,,,
Luka Doncic,2023,53,17,24,.708,5,11,.455,14,18,.778,0,8,8,5,0,2,4,2
Luka Doncic,2023,31,12,19,.632,2,7,.286,5,8,.625,0,8,8,4,0,2,4,2
Luka Doncic,2023,,,,,,,,,,,,,,,,,,
Luka Doncic,2023,,,,,,,,,,,,,,,,,,
Luka Doncic,2023,,,,,,,,,,,,,,,,,,
Luka Doncic,2023,,,,,,,,,,,,,,,,,,
