Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Mo Williams,2009,12,4,10,.400,3,5,.600,1,1,1.000,0,3,3,2,0,1,4,5
Mo Williams,2009,17,7,14,.500,1,6,.167,2,2,1.000,2,2,4,7,0,1,1,4
Mo Williams,2009,11,5,15,.333,1,5,.200,0,0,,0,2,2,4,0,0,4,4
Mo Williams,2009,14,6,12,.500,1,2,.500,1,1,1.000,1,3,4,6,0,0,2,3
Mo Williams,2009,13,5,11,.455,1,2,.500,2,2,1.000,0,0,0,4,0,1,4,2
Mo Williams,2009,21,6,14,.429,2,5,.400,7,7,1.000,1,2,3,4,0,1,5,4
Mo Williams,2009,11,4,11,.364,0,2,.000,3,3,1.000,0,2,2,7,0,4,3,4
Mo Williams,2009,16,3,11,.273,1,5,.200,9,10,.900,0,1,1,5,0,1,3,3
Mo Williams,2009,24,10,21,.476,3,9,.333,1,1,1.000,0,0,0,6,1,1,2,1
Mo Williams,2009,20,8,18,.444,3,8,.375,1,1,1.000,1,2,3,4,1,0,1,3
Mo Williams,2009,16,6,11,.545,3,4,.750,1,1,1.000,2,4,6,6,0,1,2,3
Mo Williams,2009,25,9,16,.563,5,8,.625,2,2,1.000,1,1,2,1,0,1,4,4
Mo Williams,2009,23,9,17,.529,3,6,.500,2,2,1.000,1,4,5,4,0,0,0,1
Mo Williams,2009,8,4,11,.364,0,4,.000,0,0,,1,5,6,6,0,3,1,3
Mo Williams,2009,7,2,3,.667,1,1,1.000,2,2,1.000,0,0,0,5,0,0,0,0
Mo Williams,2009,16,6,14,.429,1,4,.250,3,3,1.000,0,2,2,4,1,1,0,3
Mo Williams,2009,13,6,20,.300,0,5,.000,1,2,.500,2,1,3,3,0,0,1,3
Mo Williams,2009,16,6,10,.600,2,4,.500,2,2,1.000,0,4,4,1,0,0,4,3
Mo Williams,2009,17,7,9,.778,0,1,.000,3,3,1.000,0,0,0,4,0,0,3,4
