Player,Highest Points,Lowest Points,Avg Points,Highest Field Goals,Lowest Field Goals,Avg Field Goals,Highest FG Attempts,Lowest FG Attempts,Avg FG Attempts,Highest FG%,Lowest FG%,Avg FG%,Highest Three Pointers,Lowest Three Pointers,Avg Three Pointers,Highest 3P Attempts,Lowest 3P Attempts,Avg 3P Attempts,Highest 3P%,Lowest 3P%,Avg 3P%,Highest Free Throws,Lowest Free Throws,Avg Free Throws,Highest FT Attempts,Lowest FT Attempts,Avg FT Attempts,Highest FT%,Lowest FT%,Avg FT%,Highest ORB,Lowest ORB,Avg ORB,Highest DRB,Lowest DRB,Avg DRB,Highest TRB,Lowest TRB,Avg TRB,Highest Assists,Lowest Assists,Avg Assists,Highest Blocks,Lowest Blocks,Avg Blocks,Highest Steals,Lowest Steals,Avg Steals,Highest Turnovers,Lowest Turnovers,Avg Turnovers,Highest Personal Fouls,Lowest Personal Fouls,Avg Personal Fouls
Al Horford,27.0,2.0,12.875,11.0,1.0,5.111111111111111,18.0,4.0,10.458333333333334,0.889,0.143,0.4852638888888888,4.0,0.0,1.3472222222222223,7.0,0.0,3.138888888888889,1.0,0.0,0.4572394366197183,6.0,0.0,1.3055555555555556,7.0,0.0,1.6666666666666667,1.0,0.0,0.7395365853658536,5.0,0.0,1.4305555555555556,11.0,2.0,5.930555555555555,14.0,2.0,7.361111111111111,11.0,0.0,4.708333333333333,3.0,0.0,1.0833333333333333,3.0,0.0,0.5972222222222222,6.0,0.0,1.8333333333333333,6.0,0.0,1.9166666666666667
Allan Houston,39.0,4.0,18.705128205128204,16.0,1.0,6.948717948717949,27.0,7.0,15.487179487179487,0.8,0.111,0.44380769230769235,5.0,0.0,1.2307692307692308,9.0,0.0,3.230769230769231,1.0,0.0,0.356958904109589,11.0,0.0,3.576923076923077,12.0,0.0,3.9358974358974357,1.0,0.0,0.9187887323943661,2.0,0.0,0.2564102564102564,8.0,0.0,3.371794871794872,9.0,0.0,3.628205128205128,7.0,0.0,2.217948717948718,2.0,0.0,0.1282051282051282,4.0,0.0,0.6666666666666666,6.0,0.0,2.0641025641025643,6.0,0.0,2.4358974358974357
Allen Iverson,38.0,2.0,17.45614035087719,13.0,0.0,6.105263157894737,28.0,4.0,14.631578947368421,0.625,0.0,0.40561403508771926,4.0,0.0,0.49122807017543857,7.0,0.0,1.736842105263158,1.0,0.0,0.20327027027027028,15.0,0.0,4.754385964912281,16.0,0.0,6.087719298245614,1.0,0.333,0.7815636363636365,3.0,0.0,0.5263157894736842,6.0,0.0,2.508771929824561,7.0,0.0,3.0350877192982457,12.0,1.0,4.964912280701754,2.0,0.0,0.10526315789473684,4.0,0.0,1.543859649122807,6.0,0.0,2.56140350877193,4.0,0.0,1.5087719298245614
Alonzo Mourning,28.0,4.0,15.706666666666667,12.0,2.0,5.96,20.0,6.0,11.546666666666667,0.875,0.25,0.527,1.0,0.0,0.013333333333333334,2.0,0.0,0.04,0.5,0.0,0.25,14.0,0.0,3.7733333333333334,17.0,0.0,5.746666666666667,1.0,0.0,0.6414861111111111,7.0,0.0,2.4266666666666667,11.0,1.0,6.0,14.0,2.0,8.426666666666666,4.0,0.0,1.16,7.0,0.0,2.48,3.0,0.0,0.36,7.0,0.0,2.4266666666666667,6.0,0.0,3.44
Amar'e Stoudemire,41.0,13.0,25.26923076923077,17.0,4.0,9.538461538461538,32.0,10.0,19.0,0.833,0.238,0.506551282051282,2.0,0.0,0.1282051282051282,3.0,0.0,0.2948717948717949,1.0,0.0,0.4479375,14.0,0.0,6.064102564102564,16.0,0.0,7.653846153846154,1.0,0.0,0.7762894736842104,8.0,0.0,2.5384615384615383,11.0,0.0,5.615384615384615,16.0,1.0,8.153846153846153,7.0,0.0,2.58974358974359,6.0,0.0,1.9230769230769231,4.0,0.0,0.9102564102564102,11.0,0.0,3.2051282051282053,6.0,0.0,3.5128205128205128
Andre Drummond,30.0,3.0,15.012820512820513,12.0,1.0,5.9743589743589745,18.0,4.0,11.294871794871796,1.0,0.143,0.5280641025641025,0.0,0.0,0.0,1.0,0.0,0.14102564102564102,0.0,0.0,0.0,14.0,0.0,3.0641025641025643,16.0,0.0,5.064102564102564,1.0,0.0,0.5906133333333334,11.0,1.0,5.115384615384615,20.0,4.0,10.871794871794872,27.0,6.0,15.987179487179487,8.0,0.0,3.0384615384615383,6.0,0.0,1.6282051282051282,5.0,0.0,1.4615384615384615,6.0,0.0,2.5641025641025643,6.0,0.0,3.2051282051282053
Andre Iguodala,23.0,3.0,12.435483870967742,9.0,1.0,4.629032258064516,16.0,3.0,10.193548387096774,1.0,0.167,0.4617741935483871,4.0,0.0,1.2258064516129032,8.0,0.0,3.1129032258064515,1.0,0.0,0.38476666666666665,6.0,0.0,1.9516129032258065,9.0,0.0,3.161290322580645,1.0,0.0,0.59025,3.0,0.0,0.9032258064516129,12.0,1.0,5.241935483870968,13.0,1.0,6.145161290322581,11.0,1.0,5.467741935483871,4.0,0.0,0.4838709677419355,5.0,0.0,1.7258064516129032,4.0,0.0,1.8548387096774193,4.0,0.0,1.4838709677419355
Andrei Kirilenko,31.0,3.0,16.46153846153846,9.0,0.0,5.282051282051282,20.0,4.0,11.935897435897436,0.833,0.0,0.44758974358974357,5.0,0.0,0.8717948717948718,9.0,0.0,2.576923076923077,1.0,0.0,0.3253972602739726,12.0,0.0,5.0256410256410255,16.0,0.0,6.358974358974359,1.0,0.25,0.7940135135135135,8.0,0.0,2.8974358974358974,13.0,1.0,5.166666666666667,16.0,2.0,8.064102564102564,8.0,0.0,3.128205128205128,7.0,0.0,2.7564102564102564,8.0,0.0,1.9230769230769231,6.0,0.0,2.7564102564102564,5.0,0.0,2.230769230769231
Andrew Bynum,37.0,0.0,18.716666666666665,15.0,0.0,7.4,27.0,2.0,13.266666666666667,0.857,0.0,0.5582666666666666,1.0,0.0,0.016666666666666666,1.0,0.0,0.08333333333333333,1.0,0.0,0.2,10.0,0.0,3.9,12.0,0.0,5.633333333333334,1.0,0.0,0.6707796610169493,8.0,0.0,3.2,22.0,1.0,8.616666666666667,30.0,2.0,11.816666666666666,4.0,0.0,1.4166666666666667,5.0,0.0,1.9333333333333333,2.0,0.0,0.45,7.0,0.0,2.533333333333333,5.0,0.0,1.7333333333333334
Andrew Wiggins,35.0,7.0,17.205479452054796,14.0,3.0,6.506849315068493,20.0,9.0,13.95890410958904,0.737,0.263,0.4632602739726027,8.0,0.0,2.1506849315068495,10.0,1.0,5.465753424657534,0.8,0.0,0.3728219178082192,8.0,0.0,2.041095890410959,11.0,0.0,3.219178082191781,1.0,0.0,0.6286896551724138,4.0,0.0,1.1643835616438356,9.0,0.0,3.287671232876712,11.0,0.0,4.4520547945205475,6.0,0.0,2.2054794520547945,3.0,0.0,0.6986301369863014,3.0,0.0,1.0410958904109588,5.0,0.0,1.5205479452054795,6.0,0.0,2.164383561643836
