Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Al Horford,2016,15,6,11,0.545,1,3,0.333,2,3,0.667,1,3,4,4,3,2,1,1
Al Horford,2016,21,9,18,0.5,2,5,0.4,1,2,0.5,2,7,9,1,3,2,3,0
Al Horford,2016,18,8,15,0.533,2,5,0.4,0,0,,1,5,6,3,1,0,2,2
Al Horford,2016,16,7,14,0.5,0,5,0,2,2,1,2,10,12,1,3,0,3,1
Al Horford,2016,17,8,17,0.471,0,0,,1,1,1,7,6,13,2,0,1,1,1
Al Horford,2016,21,8,10,0.8,1,1,1,4,4,1,3,5,8,4,2,0,0,0
Al Horford,2016,14,7,15,0.467,0,3,0,0,0,,1,4,5,4,2,1,2,5
Al Horford,2016,14,5,13,0.385,0,3,0,4,4,1,2,7,9,2,1,1,2,1
Al Horford,2016,14,5,15,0.333,2,5,0.4,2,2,1,2,4,6,3,0,1,1,3
Al Horford,2016,26,11,15,0.733,4,6,0.667,0,0,,3,5,8,3,3,0,2,0
Al Horford,2016,13,6,11,0.545,1,2,0.5,0,0,,1,5,6,8,2,1,0,3
Al Horford,2016,16,7,16,0.438,2,6,0.333,0,0,,2,3,5,5,1,1,1,1
Al Horford,2016,18,8,11,0.727,2,3,0.667,0,0,,3,2,5,2,2,1,2,2
Al Horford,2016,17,6,15,0.4,1,2,0.5,4,4,1,0,1,1,1,2,0,2,1
Al Horford,2016,10,4,12,0.333,1,3,0.333,1,1,1,4,6,10,3,1,0,1,0
Al Horford,2016,11,5,10,0.5,1,3,0.333,0,0,,1,3,4,4,1,0,2,2
Al Horford,2016,12,5,15,0.333,0,3,0,2,5,0.4,8,4,12,2,1,1,2,2
Al Horford,2016,16,5,10,0.5,2,3,0.667,4,4,1,0,4,4,2,0,0,0,5
Al Horford,2016,10,4,11,0.364,0,1,0,2,2,1,2,2,4,3,0,0,0,1
Al Horford,2016,21,8,15,0.533,2,3,0.667,3,3,1,4,9,13,1,2,1,0,2
Al Horford,2016,,,,,,,,,,,,,,,,,,
Al Horford,2016,12,4,9,0.444,1,3,0.333,3,4,0.75,2,7,9,1,2,0,0,4
Al Horford,2016,16,6,11,0.545,1,4,0.25,3,4,0.75,1,8,9,5,1,1,3,0
Al Horford,2016,14,7,13,0.538,0,1,0,0,0,,1,7,8,4,2,2,1,2
Al Horford,2016,9,3,14,0.214,1,4,0.25,2,2,1,2,5,7,3,1,0,1,2
Al Horford,2016,9,3,7,0.429,0,1,0,3,4,0.75,1,6,7,3,0,2,1,0
Al Horford,2016,13,6,12,0.5,1,5,0.2,0,0,,0,4,4,5,2,2,2,3
Al Horford,2016,17,8,13,0.615,1,1,1,0,0,,0,4,4,1,0,1,2,0
Al Horford,2016,21,10,19,0.526,0,2,0,1,2,0.5,3,7,10,2,3,1,3,4
Al Horford,2016,14,7,15,0.467,0,3,0,0,0,,2,4,6,5,1,1,2,3
Al Horford,2016,6,3,9,0.333,0,2,0,0,0,,0,2,2,3,0,0,2,4
Al Horford,2016,15,7,14,0.5,1,3,0.333,0,0,,0,4,4,0,1,1,1,3
Al Horford,2016,19,9,15,0.6,0,2,0,1,1,1,1,5,6,7,2,2,1,1
Al Horford,2016,10,5,11,0.455,0,1,0,0,2,0,3,7,10,0,1,0,1,1
Al Horford,2016,30,11,15,0.733,5,7,0.714,3,4,0.75,4,10,14,2,1,1,0,3
Al Horford,2016,13,5,8,0.625,1,3,0.333,2,2,1,0,3,3,2,1,0,1,1
Al Horford,2016,13,6,13,0.462,1,3,0.333,0,2,0,6,4,10,8,2,0,0,3
Al Horford,2016,18,7,12,0.583,1,2,0.5,3,3,1,5,4,9,3,3,3,0,2
Al Horford,2016,33,15,21,0.714,1,3,0.333,2,2,1,3,7,10,6,4,1,0,2
Al Horford,2016,2,1,4,0.25,0,1,0,0,0,,0,2,2,0,1,0,4,4
Al Horford,2016,18,9,23,0.391,0,3,0,0,0,,3,5,8,2,2,0,3,0
Al Horford,2016,,,,,,,,,,,,,,,,,,
Al Horford,2016,10,5,9,0.556,0,2,0,0,0,,1,0,1,3,2,2,2,4
Al Horford,2016,15,7,10,0.7,1,2,0.5,0,0,,1,6,7,2,2,1,0,2
Al Horford,2016,16,7,17,0.412,1,3,0.333,1,2,0.5,4,4,8,1,0,0,0,1
Al Horford,2016,11,5,11,0.455,1,3,0.333,0,0,,3,5,8,3,0,3,0,2
Al Horford,2016,9,4,12,0.333,0,3,0,1,2,0.5,4,12,16,5,2,1,2,0
Al Horford,2016,18,8,12,0.667,2,3,0.667,0,0,,0,2,2,1,1,1,1,3
Al Horford,2016,15,6,13,0.462,1,5,0.2,2,5,0.4,2,6,8,6,0,1,2,2
Al Horford,2016,14,6,12,0.5,0,2,0,2,2,1,1,3,4,4,3,1,1,3
Al Horford,2016,17,6,10,0.6,3,3,1,2,2,1,0,4,4,2,2,1,3,5
Al Horford,2016,10,4,8,0.5,2,2,1,0,0,,0,4,4,2,1,0,3,3
Al Horford,2016,7,3,4,0.75,0,0,,1,2,0.5,2,4,6,4,2,1,0,1
Al Horford,2016,21,8,16,0.5,1,4,0.25,4,4,1,0,7,7,6,0,1,2,1
Al Horford,2016,11,5,14,0.357,1,3,0.333,0,0,,2,4,6,6,2,0,0,1
Al Horford,2016,27,12,18,0.667,1,4,0.25,2,2,1,0,6,6,3,2,0,0,5
Al Horford,2016,16,7,11,0.636,2,4,0.5,0,0,,1,3,4,2,2,0,1,1
Al Horford,2016,14,4,11,0.364,1,3,0.333,5,5,1,1,4,5,3,2,1,1,2
Al Horford,2016,17,8,14,0.571,1,4,0.25,0,0,,3,6,9,2,3,1,0,1
Al Horford,2016,23,10,20,0.5,1,4,0.25,2,2,1,4,12,16,6,5,3,1,1
Al Horford,2016,18,8,11,0.727,2,3,0.667,0,0,,0,5,5,4,4,1,2,2
Al Horford,2016,13,6,17,0.353,1,3,0.333,0,0,,2,14,16,6,1,0,2,3
Al Horford,2016,,,,,,,,,,,,,,,,,,
Al Horford,2016,17,8,16,0.5,1,3,0.333,0,0,,1,8,9,3,0,1,4,3
Al Horford,2016,8,2,5,0.4,0,1,0,4,4,1,0,5,5,5,3,0,1,2
Al Horford,2016,11,4,11,0.364,1,3,0.333,2,2,1,3,9,12,1,0,0,1,1
Al Horford,2016,11,5,7,0.714,1,2,0.5,0,0,,2,5,7,1,1,1,1,1
Al Horford,2016,20,8,14,0.571,3,5,0.6,1,2,0.5,0,4,4,3,0,2,4,3
Al Horford,2016,19,8,12,0.667,1,2,0.5,2,2,1,1,7,8,2,4,0,0,2
Al Horford,2016,18,8,12,0.667,2,4,0.5,0,0,,1,3,4,1,0,0,0,0
Al Horford,2016,21,9,15,0.6,2,5,0.4,1,2,0.5,2,9,11,4,1,0,0,2
Al Horford,2016,11,5,10,0.5,0,0,,1,1,1,0,3,3,3,3,0,0,2
Al Horford,2016,22,10,19,0.526,2,5,0.4,0,0,,4,5,9,1,2,1,2,1
Al Horford,2016,14,6,12,0.5,2,5,0.4,0,0,,0,9,9,9,1,3,1,2
Al Horford,2016,13,4,7,0.571,3,6,0.5,2,2,1,0,3,3,3,0,0,3,1
Al Horford,2016,14,7,12,0.583,0,1,0,0,0,,3,5,8,3,2,2,1,1
Al Horford,2016,13,6,15,0.4,1,5,0.2,0,0,,1,4,5,5,2,1,0,3
Al Horford,2016,14,6,11,0.545,0,0,,2,4,0.5,2,8,10,3,1,0,0,0
Al Horford,2016,7,3,9,0.333,1,3,0.333,0,0,,2,5,7,3,1,0,1,2
Al Horford,2016,14,5,17,0.294,0,6,0,4,5,0.8,0,9,9,3,1,0,0,3
Al Horford,2016,16,7,18,0.389,2,4,0.5,0,0,,5,5,10,3,0,2,4,4
Al Horford,2016,11,4,9,0.444,1,3,0.333,2,2,1,1,7,8,6,0,2,2,4
Al Horford,2016,12,5,13,0.385,2,5,0.4,0,0,,1,7,8,6,1,1,1,4
Al Horford,2016,,,,,,,,,,,,,,,,,,
Al Horford,2016,20,10,17,0.588,0,4,0,0,1,0,2,9,11,2,1,1,1,2
Al Horford,2016,19,6,10,0.6,2,5,0.4,5,5,1,0,8,8,2,1,1,2,2
Al Horford,2018,9,2,7,0.286,0,2,0,5,7,0.714,0,7,7,5,1,0,0,2
Al Horford,2018,13,6,11,0.545,0,2,0,1,1,1,1,5,6,4,2,3,2,3
Al Horford,2018,17,5,16,0.313,3,7,0.429,4,4,1,3,6,9,3,1,0,4,2
Al Horford,2018,13,5,8,0.625,2,4,0.5,1,2,0.5,2,11,13,5,1,0,2,1
Al Horford,2018,27,11,14,0.786,4,5,0.8,1,1,1,1,8,9,4,1,0,4,2
Al Horford,2018,12,3,9,0.333,0,2,0,6,7,0.857,1,8,9,3,0,1,2,1
Al Horford,2018,14,7,11,0.636,0,0,,0,0,,3,10,13,5,0,2,1,2
Al Horford,2018,7,3,6,0.5,1,4,0.25,0,0,,0,7,7,6,1,1,4,1
Al Horford,2018,20,8,10,0.8,4,4,1,0,0,,2,6,8,4,0,0,2,2
Al Horford,2018,14,5,8,0.625,3,3,1,1,2,0.5,1,9,10,4,0,0,6,3
Al Horford,2018,15,5,13,0.385,1,5,0.2,4,4,1,2,8,10,9,1,0,1,1
Al Horford,2018,,,,,,,,,,,,,,,,,,
Al Horford,2018,,,,,,,,,,,,,,,,,,
Al Horford,2018,21,8,9,0.889,1,1,1,4,5,0.8,1,2,3,4,0,2,2,1
Al Horford,2018,17,8,10,0.8,1,2,0.5,0,0,,1,10,11,3,0,0,2,1
Al Horford,2018,18,7,11,0.636,0,4,0,4,4,1,1,10,11,2,0,0,5,1
Al Horford,2018,7,3,11,0.273,1,5,0.2,0,0,,2,4,6,6,0,1,3,4
Al Horford,2018,3,1,5,0.2,1,1,1,0,0,,1,7,8,7,2,1,3,0
Al Horford,2018,7,3,10,0.3,1,4,0.25,0,2,0,2,7,9,4,2,1,1,0
Al Horford,2018,5,2,5,0.4,1,3,0.333,0,0,,0,4,4,10,2,0,2,1
Al Horford,2018,,,,,,,,,,,,,,,,,,
Al Horford,2018,21,8,15,0.533,3,4,0.75,2,2,1,1,4,5,6,3,0,1,1
Al Horford,2018,11,5,8,0.625,1,3,0.333,0,0,,0,5,5,3,2,1,1,3
Al Horford,2018,21,9,12,0.75,2,3,0.667,1,2,0.5,0,8,8,5,2,0,2,2
Al Horford,2018,14,6,10,0.6,2,4,0.5,0,0,,1,4,5,11,1,0,1,1
Al Horford,2018,20,8,10,0.8,1,2,0.5,3,4,0.75,2,7,9,8,1,0,2,4
Al Horford,2018,17,7,17,0.412,3,5,0.6,0,0,,2,6,8,8,3,2,0,1
Al Horford,2018,2,1,6,0.167,0,3,0,0,0,,2,7,9,3,0,0,3,3
Al Horford,2018,18,7,15,0.467,2,7,0.286,2,2,1,1,8,9,6,2,0,0,3
Al Horford,2018,15,6,14,0.429,0,4,0,3,3,1,2,2,4,5,0,0,0,0
Al Horford,2018,,,,,,,,,,,,,,,,,,
Al Horford,2018,21,9,14,0.643,3,5,0.6,0,0,,1,5,6,7,0,2,0,1
Al Horford,2018,15,7,12,0.583,1,2,0.5,0,1,0,1,6,7,6,1,0,3,1
Al Horford,2018,14,6,13,0.462,2,4,0.5,0,0,,2,8,10,9,1,1,1,1
Al Horford,2018,6,2,10,0.2,0,2,0,2,5,0.4,1,7,8,2,0,0,1,6
Al Horford,2018,10,4,12,0.333,1,3,0.333,1,2,0.5,4,2,6,5,0,1,2,2
Al Horford,2018,10,5,10,0.5,0,1,0,0,0,,0,4,4,6,3,0,1,0
Al Horford,2018,12,5,10,0.5,2,2,1,0,0,,3,4,7,6,2,1,1,2
Al Horford,2018,20,8,11,0.727,4,6,0.667,0,0,,2,9,11,1,1,1,3,2
Al Horford,2018,9,4,10,0.4,1,3,0.333,0,2,0,0,8,8,4,0,1,3,2
Al Horford,2018,10,5,9,0.556,0,1,0,0,0,,2,8,10,5,3,0,3,3
Al Horford,2018,,,,,,,,,,,,,,,,,,
Al Horford,2018,11,5,7,0.714,1,1,1,0,0,,5,4,9,3,0,1,2,1
Al Horford,2018,7,3,9,0.333,1,5,0.2,0,1,0,2,3,5,8,1,1,2,2
Al Horford,2018,,,,,,,,,,,,,,,,,,
Al Horford,2018,13,5,10,0.5,1,3,0.333,2,2,1,0,8,8,7,1,0,1,1
Al Horford,2018,14,5,9,0.556,4,5,0.8,0,0,,2,7,9,6,1,1,2,3
Al Horford,2018,14,5,11,0.455,1,4,0.25,3,4,0.75,0,3,3,3,2,1,3,4
