Player,Season,Points,Field Goal %,Three Pointer %,Free Throw %,ORB,Turnovers
Al Horford,2018,9,0.286,0,0.714,0,0
Al Horford,2018,13,0.545,0,1,1,2
Al Horford,2018,17,0.313,0.429,1,3,4
Al Horford,2018,13,0.625,0.5,0.5,2,2
Al Horford,2018,27,0.786,0.8,1,1,4
Al Horford,2018,12,0.333,0,0.857,1,2
Al Horford,2018,14,0.636,,,3,1
Al Horford,2018,7,0.5,0.25,,0,4
Al Horford,2018,20,0.8,1,,2,2
Al Horford,2018,14,0.625,1,0.5,1,6
Al Horford,2018,15,0.385,0.2,1,2,1
Al Horford,2018,,,,,,
Al Horford,2018,,,,,,
Al Horford,2018,21,0.889,1,0.8,1,2
Al Horford,2018,17,0.8,0.5,,1,2
Al Horford,2018,18,0.636,0,1,1,5
Al Horford,2018,7,0.273,0.2,,2,3
Al Horford,2018,3,0.2,1,,1,3
Al Horford,2018,7,0.3,0.25,0,2,1
Al Horford,2018,5,0.4,0.333,,0,2
Al Horford,2018,,,,,,
Al Horford,2018,21,0.533,0.75,1,1,1
Al Horford,2018,11,0.625,0.333,,0,1
Al Horford,2018,21,0.75,0.667,0.5,0,2
Al Horford,2018,14,0.6,0.5,,1,1
Al Horford,2018,20,0.8,0.5,0.75,2,2
Al Horford,2018,17,0.412,0.6,,2,0
Al Horford,2018,2,0.167,0,,2,3
Al Horford,2018,18,0.467,0.286,1,1,0
Al Horford,2018,15,0.429,0,1,2,0
Al Horford,2018,,,,,,
Al Horford,2018,21,0.643,0.6,,1,0
Al Horford,2018,15,0.583,0.5,0,1,3
Al Horford,2018,14,0.462,0.5,,2,1
Al Horford,2018,6,0.2,0,0.4,1,1
Al Horford,2018,10,0.333,0.333,0.5,4,2
Al Horford,2018,10,0.5,0,,0,1
Al Horford,2018,12,0.5,1,,3,1
Al Horford,2018,20,0.727,0.667,,2,3
Al Horford,2018,9,0.4,0.333,0,0,3
Al Horford,2018,10,0.556,0,,2,3
Al Horford,2018,,,,,,
Al Horford,2018,11,0.714,1,,5,2
Al Horford,2018,7,0.333,0.2,0,2,2
Al Horford,2018,,,,,,
Al Horford,2018,13,0.5,0.333,1,0,1
Al Horford,2018,14,0.556,0.8,,2,2
Al Horford,2018,14,0.455,0.25,0.75,0,3
Al Horford,2018,9,0.364,0.5,,1,0
Al Horford,2018,13,0.455,0.6,,3,1
Al Horford,2018,,,,,,
Al Horford,2018,15,0.4,0.667,0.5,3,3
Al Horford,2018,10,0.333,0.333,,1,1
Al Horford,2018,14,0.5,0.25,0.5,1,1
Al Horford,2018,17,0.538,1,1,1,1
Al Horford,2018,22,0.667,1,1,1,3
Al Horford,2018,2,0.2,0,,0,4
Al Horford,2018,12,0.625,0.25,0.5,2,3
Al Horford,2018,10,0.571,1,,2,2
Al Horford,2018,9,0.5,0.25,,0,4
Al Horford,2018,20,0.471,0.5,1,1,1
Al Horford,2018,3,0.167,0.333,,1,2
Al Horford,2018,,,,,,
Al Horford,2018,13,0.385,0.5,,2,1
Al Horford,2018,5,0.143,0,0.75,1,1
Al Horford,2018,5,0.5,1,,0,1
Al Horford,2018,10,0.333,0,1,4,3
Al Horford,2018,13,0.75,1,,1,1
Al Horford,2018,20,0.571,0.25,1,1,1
Al Horford,2018,,,,,,
Al Horford,2018,,,,,,
Al Horford,2018,15,0.333,0.5,1,2,1
Al Horford,2018,6,0.273,0,,1,1
Al Horford,2018,5,0.222,0.25,,0,4
Al Horford,2018,11,0.571,1,0.5,1,3
Al Horford,2018,14,0.6,1,0.5,0,1
Al Horford,2018,19,0.583,0.75,1,2,1
Al Horford,2018,,,,,,
Al Horford,2018,14,0.5,0,0.8,1,0
Al Horford,2018,15,0.667,1,1,2,1
Al Horford,2018,16,0.385,0.25,1,1,0
Al Horford,2018,,,,,,
Al Horford,2018,16,0.455,0.667,1,2,0
Al Horford,2018,,,,,,
Al Horford,2018,10,0.3,0,1,5,2
Al Horford,2018,,,,,,
Allan Houston,2001,21,0.467,0.333,0.857,0,2
Allan Houston,2001,15,0.4,0.25,1,0,2
Allan Houston,2001,18,0.353,0.2,1,0,1
Allan Houston,2001,24,0.5,0.333,0.667,0,1
Allan Houston,2001,25,0.5,0,0.875,0,3
Allan Houston,2001,37,0.65,1,0.75,0,4
Allan Houston,2001,21,0.471,0,1,0,2
Allan Houston,2001,12,0.313,0.5,,0,3
Allan Houston,2001,17,0.368,0,0.75,0,2
Allan Houston,2001,21,0.421,0,1,0,1
Allan Houston,2001,7,0.429,0.333,,1,3
Allan Houston,2001,5,0.111,,0.75,1,3
Allan Houston,2001,21,0.5,1,0.667,1,2
Allan Houston,2001,10,0.455,0,,0,3
Allan Houston,2001,22,0.5,1,1,1,2
Allan Houston,2001,15,0.353,0,1,1,0
Allan Houston,2001,26,0.35,0.25,0.917,0,2
Allan Houston,2001,37,0.8,1,1,0,4
Allan Houston,2001,19,0.6,1,1,0,1
Allan Houston,2001,17,0.545,0.667,1,1,2
Allan Houston,2001,,,,,,
Allan Houston,2001,17,0.353,0.2,0.8,0,2
Allan Houston,2001,21,0.471,0,1,0,1
Allan Houston,2001,9,0.286,0,1,0,6
Allan Houston,2001,14,0.5,0.2,1,1,3
Allan Houston,2001,29,0.688,0,0.875,0,3
Allan Houston,2001,18,0.316,0.333,1,1,1
Allan Houston,2001,4,0.167,0,,0,2
Allan Houston,2001,27,0.5,1,0.8,1,2
Allan Houston,2001,23,0.421,0,0.875,0,2
Allan Houston,2001,,,,,,
Allan Houston,2001,27,0.526,0.6,1,0,2
Allan Houston,2001,25,0.75,0.5,0.857,0,3
Allan Houston,2001,24,0.444,0.75,1,0,2
Allan Houston,2001,19,0.714,0.75,0.857,0,4
Allan Houston,2001,13,0.294,0,1,1,3
Allan Houston,2001,12,0.308,0.2,0.75,0,1
Allan Houston,2001,31,0.55,0.75,1,0,3
Allan Houston,2001,34,0.524,0.714,1,1,1
Allan Houston,2001,12,0.231,0.5,1,0,2
Allan Houston,2001,21,0.467,0.333,1,0,0
Allan Houston,2001,,,,,,
Allan Houston,2001,18,0.333,0.167,0.875,1,2
Allan Houston,2001,33,0.519,0.429,1,0,2
Allan Houston,2001,27,0.478,0.333,1,0,2
Allan Houston,2001,19,0.533,0.5,1,0,0
Allan Houston,2001,17,0.462,0,0.833,0,3
Allan Houston,2001,31,0.6,0.75,0.8,0,2
Allan Houston,2001,18,0.45,0,,0,5
Allan Houston,2001,15,0.333,0,0.833,1,1
Allan Houston,2001,12,0.385,0,1,0,3
Allan Houston,2001,31,0.579,0.5,1,0,0
Allan Houston,2001,11,0.556,,1,0,2
Allan Houston,2001,12,0.214,0,0.857,0,1
Allan Houston,2001,8,0.286,,0.8,0,3
Allan Houston,2001,21,0.438,0.5,1,1,3
Allan Houston,2001,21,0.563,0.25,1,1,2
Allan Houston,2001,24,0.688,1,,0,5
Allan Houston,2001,8,0.375,0.5,1,1,2
Allan Houston,2001,23,0.421,0.4,0.833,0,2
Allan Houston,2001,16,0.467,0.333,1,0,3
Allan Houston,2001,11,0.214,0,1,0,0
Allan Houston,2001,,,,,,
Allan Houston,2001,12,0.313,0,1,0,1
Allan Houston,2001,23,0.389,0.2,0.889,0,0
Allan Houston,2001,13,0.375,1,0,1,0
Allan Houston,2001,20,0.438,0.25,1,0,3
Allan Houston,2001,11,0.313,0,1,0,3
Allan Houston,2001,12,0.5,0,1,0,5
Allan Houston,2001,39,0.652,0.8,1,0,2
Allan Houston,2001,11,0.182,0.2,1,2,1
Allan Houston,2001,16,0.5,,,1,4
Allan Houston,2001,21,0.467,0.667,1,0,0
