Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Domantas Sabonis,2023,13,5,10,.500,0,1,.000,3,6,.500,1,3,4,5,1,1,3,6
Domantas Sabonis,2023,11,4,12,.333,0,3,.000,3,6,.500,3,7,10,7,2,2,1,4
Domantas Sabonis,2023,19,6,10,.600,0,1,.000,7,8,.875,3,11,14,4,1,0,1,2
Domantas Sabonis,2023,11,4,6,.667,0,1,.000,3,4,.750,3,8,11,9,0,1,4,4
Domantas Sabonis,2023,18,8,9,.889,0,0,,2,2,1.000,2,5,7,3,1,0,2,6
Domantas Sabonis,2023,9,3,9,.333,0,1,.000,3,5,.600,4,12,16,7,0,1,3,6
Domantas Sabonis,2023,22,8,15,.533,1,1,1.000,5,7,.714,0,12,12,8,0,1,2,2
Domantas Sabonis,2023,25,10,14,.714,0,1,.000,5,12,.417,2,9,11,6,1,1,2,4
Domantas Sabonis,2023,19,6,15,.400,0,2,.000,7,8,.875,4,10,14,6,0,0,3,4
Domantas Sabonis,2023,21,5,8,.625,0,1,.000,11,12,.917,1,4,5,6,0,3,1,3
Domantas Sabonis,2023,21,9,15,.600,0,0,,3,3,1.000,2,8,10,6,0,1,2,5
Domantas Sabonis,2023,26,10,17,.588,2,2,1.000,4,6,.667,6,16,22,8,0,0,3,1
Domantas Sabonis,2023,17,6,6,1.000,0,0,,5,5,1.000,1,6,7,7,1,1,3,4
Domantas Sabonis,2023,16,4,5,.800,1,1,1.000,7,7,1.000,0,8,8,1,0,0,2,4
Domantas Sabonis,2023,15,4,5,.800,1,1,1.000,6,8,.750,3,10,13,7,0,1,3,5
Domantas Sabonis,2023,9,3,8,.375,0,1,.000,3,6,.500,2,11,13,8,0,0,2,5
Domantas Sabonis,2023,15,6,11,.545,0,1,.000,3,4,.750,1,12,13,7,0,1,3,1
Domantas Sabonis,2023,18,7,13,.538,0,2,.000,4,4,1.000,2,8,10,6,0,0,3,5
Domantas Sabonis,2023,17,8,10,.800,1,2,.500,0,0,,2,7,9,10,2,1,5,1
Domantas Sabonis,2023,11,5,9,.556,1,2,.500,0,0,,1,9,10,7,0,1,3,4
Domantas Sabonis,2023,,,,,,,,,,,,,,,,,,
Domantas Sabonis,2023,24,10,11,.909,2,2,1.000,2,3,.667,2,3,5,6,2,0,2,5
Domantas Sabonis,2023,11,2,4,.500,1,1,1.000,6,6,1.000,3,14,17,10,0,0,2,3
Domantas Sabonis,2023,23,9,11,.818,1,1,1.000,4,4,1.000,4,8,12,7,0,1,2,3
Domantas Sabonis,2023,18,5,12,.417,0,1,.000,8,14,.571,5,13,18,6,2,3,2,4
Domantas Sabonis,2023,20,7,10,.700,0,0,,6,11,.545,3,9,12,4,0,0,2,2
Domantas Sabonis,2023,22,8,10,.800,0,0,,6,7,.857,4,6,10,5,0,0,1,4
Domantas Sabonis,2023,21,10,13,.769,0,0,,1,1,1.000,5,15,20,7,1,1,5,3
Domantas Sabonis,2023,23,9,11,.818,0,1,.000,5,7,.714,2,11,13,7,1,2,3,2
Domantas Sabonis,2023,28,12,19,.632,2,2,1.000,2,5,.400,5,18,23,7,0,1,1,4
Domantas Sabonis,2023,13,4,8,.500,1,2,.500,4,4,1.000,7,14,21,12,0,1,4,4
Domantas Sabonis,2023,20,5,14,.357,0,2,.000,10,10,1.000,7,8,15,10,0,0,1,2
Domantas Sabonis,2023,,,,,,,,,,,,,,,,,,
Domantas Sabonis,2023,31,12,18,.667,2,2,1.000,5,8,.625,3,7,10,5,1,1,2,5
Domantas Sabonis,2023,28,12,12,1.000,2,2,1.000,2,3,.667,3,8,11,8,0,0,7,3
Domantas Sabonis,2023,18,8,14,.571,0,2,.000,2,2,1.000,6,8,14,4,0,1,0,4
Domantas Sabonis,2023,21,8,13,.615,0,1,.000,5,5,1.000,3,11,14,8,0,0,2,5
Domantas Sabonis,2023,20,7,13,.538,0,0,,6,8,.750,4,10,14,8,1,2,4,4
Domantas Sabonis,2023,25,10,17,.588,0,2,.000,5,7,.714,2,10,12,7,1,0,4,6
Domantas Sabonis,2023,12,5,12,.417,1,1,1.000,1,2,.500,2,8,10,8,0,0,3,0
Domantas Sabonis,2023,25,9,12,.750,0,0,,7,9,.778,2,12,14,9,0,0,4,3
Domantas Sabonis,2023,,,,,,,,,,,,,,,,,,
Domantas Sabonis,2023,19,6,14,.429,0,3,.000,7,10,.700,5,10,15,16,2,2,2,3
Domantas Sabonis,2023,18,7,14,.500,0,1,.000,4,4,1.000,4,14,18,8,0,0,2,4
Domantas Sabonis,2023,,,,,,,,,,,,,,,,,,
Domantas Sabonis,2023,18,5,9,.556,0,1,.000,8,8,1.000,4,10,14,14,0,0,6,3
Domantas Sabonis,2023,16,7,10,.700,0,1,.000,2,4,.500,1,8,9,10,0,0,4,3
Domantas Sabonis,2023,14,7,13,.538,0,1,.000,0,0,,2,8,10,11,0,0,8,3
