Player,Season,Points,Field Goal %,Three Pointer %,Free Throw %,ORB,Turnovers
D'Angelo Russell,2019,8,.333,.250,.500,0,2
D'Angelo Russell,2019,15,.417,.500,1.000,1,4
D'Angelo Russell,2019,12,.313,.400,,1,3
D'Angelo Russell,2019,18,.357,.286,1.000,0,1
D'Angelo Russell,2019,24,.563,.667,,1,5
D'Angelo Russell,2019,25,.643,.625,.667,0,5
D'Angelo Russell,2019,13,.400,.429,1.000,1,2
D'Angelo Russell,2019,6,.200,.000,.000,0,2
D'Angelo Russell,2019,12,.357,.200,.500,1,1
D'Angelo Russell,2019,21,.476,.167,,1,1
D'Angelo Russell,2019,15,.400,.167,1.000,1,0
D'Angelo Russell,2019,23,.500,.600,.750,0,2
D'Angelo Russell,2019,12,.313,.200,1.000,1,0
D'Angelo Russell,2019,31,.455,.600,.400,0,3
D'Angelo Russell,2019,12,.333,.000,,1,3
D'Angelo Russell,2019,23,.500,.250,.750,0,4
D'Angelo Russell,2019,23,.563,.714,,0,1
D'Angelo Russell,2019,20,.409,.250,,0,3
D'Angelo Russell,2019,17,.333,.273,1.000,0,2
D'Angelo Russell,2019,5,.200,.000,.500,0,4
D'Angelo Russell,2019,38,.571,.333,1.000,1,1
D'Angelo Russell,2019,14,.240,.333,,1,4
D'Angelo Russell,2019,26,.370,.357,.500,0,8
D'Angelo Russell,2019,8,.375,.200,.500,0,2
D'Angelo Russell,2019,30,.419,.333,.000,4,1
D'Angelo Russell,2019,17,.462,.429,1.000,0,6
D'Angelo Russell,2019,29,.591,.333,1.000,1,6
D'Angelo Russell,2019,9,.286,.500,,0,2
D'Angelo Russell,2019,12,.500,.500,,0,3
D'Angelo Russell,2019,8,.250,.200,1.000,0,5
D'Angelo Russell,2019,32,.684,.556,1.000,1,0
D'Angelo Russell,2019,22,.429,.444,,0,4
D'Angelo Russell,2019,13,.429,.167,,0,2
D'Angelo Russell,2019,3,.125,.250,,1,4
D'Angelo Russell,2019,18,.333,.400,1.000,0,7
D'Angelo Russell,2019,16,.389,.222,,0,3
D'Angelo Russell,2019,33,.542,.250,1.000,0,2
D'Angelo Russell,2019,,,,,,
D'Angelo Russell,2019,22,.429,.250,1.000,2,1
D'Angelo Russell,2019,23,.438,.429,1.000,0,4
D'Angelo Russell,2019,28,.526,.429,1.000,0,2
D'Angelo Russell,2019,5,.333,.333,,0,6
D'Angelo Russell,2019,23,.550,.250,,0,3
D'Angelo Russell,2019,24,.526,.400,1.000,1,2
D'Angelo Russell,2019,34,.500,.538,.500,1,5
D'Angelo Russell,2019,10,.364,.286,,0,1
D'Angelo Russell,2019,40,.640,.667,,1,1
D'Angelo Russell,2019,31,.480,.500,,1,0
