Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Lauri Markkanen,2023,17,6,12,.500,3,7,.429,2,2,1.000,0,4,4,4,0,2,1,3
Lauri Markkanen,2023,24,10,23,.435,2,10,.200,2,2,1.000,5,8,13,5,1,0,1,1
Lauri Markkanen,2023,31,9,17,.529,2,6,.333,11,11,1.000,3,9,12,2,1,2,2,3
Lauri Markkanen,2023,14,7,19,.368,0,6,.000,0,3,.000,3,3,6,1,0,0,1,0
Lauri Markkanen,2023,24,10,15,.667,1,4,.250,3,4,.750,1,8,9,3,1,0,4,1
Lauri Markkanen,2023,17,7,14,.500,3,6,.500,0,0,,2,8,10,1,0,0,3,3
Lauri Markkanen,2023,23,9,21,.429,2,9,.222,3,3,1.000,2,7,9,5,1,1,2,1
Lauri Markkanen,2023,31,11,15,.733,4,6,.667,5,6,.833,4,7,11,2,4,1,2,2
Lauri Markkanen,2023,14,6,10,.600,0,4,.000,2,3,.667,0,7,7,0,0,0,2,3
Lauri Markkanen,2023,27,9,17,.529,3,9,.333,6,6,1.000,3,10,13,4,1,1,1,1
Lauri Markkanen,2023,18,5,9,.556,1,3,.333,7,7,1.000,2,7,9,3,1,1,2,3
Lauri Markkanen,2023,23,10,15,.667,1,4,.250,2,3,.667,1,2,3,2,1,0,1,2
Lauri Markkanen,2023,32,9,18,.500,6,8,.750,8,8,1.000,2,6,8,0,1,0,3,2
Lauri Markkanen,2023,17,8,14,.571,1,3,.333,0,0,,1,4,5,1,2,0,1,0
Lauri Markkanen,2023,15,6,13,.462,2,5,.400,1,4,.250,3,7,10,0,0,0,4,1
Lauri Markkanen,2023,13,5,11,.455,2,5,.400,1,2,.500,4,2,6,4,2,0,2,4
Lauri Markkanen,2023,38,15,18,.833,2,3,.667,6,8,.750,1,5,6,3,0,1,1,2
Lauri Markkanen,2023,23,7,13,.538,3,5,.600,6,8,.750,3,7,10,2,0,1,3,4
Lauri Markkanen,2023,25,10,21,.476,1,5,.200,4,4,1.000,7,3,10,3,1,1,2,1
Lauri Markkanen,2023,13,4,13,.308,3,7,.429,2,2,1.000,0,8,8,2,0,0,3,3
Lauri Markkanen,2023,,,,,,,,,,,,,,,,,,
Lauri Markkanen,2023,24,9,17,.529,5,11,.455,1,1,1.000,3,3,6,1,0,0,4,3
Lauri Markkanen,2023,15,4,13,.308,2,8,.250,5,7,.714,1,9,10,2,0,0,2,3
Lauri Markkanen,2023,32,12,18,.667,7,11,.636,1,2,.500,2,7,9,1,0,0,2,1
